SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2123,5,2,Rural,1956,190773.14856300573
1805,5,1,Rural,2002,243985.2054715822
1747,5,3,Rural,1982,228683.22699618756
1699,5,1,Rural,1960,156313.5941951282
1020,5,1,Rural,1983,220053.8603574218
2451,5,2,Rural,1972,216047.21814963987
1034,5,3,Rural,1993,117295.37520060755
2955,5,3,Rural,2012,378403.5710107572
2411,5,1,Rural,1958,337645.67623531295
2025,5,2,Rural,1993,240145.9702539115
1565,5,3,Rural,1957,149848.61640852437
1729,5,1,Rural,2019,171877.06629783398
2886,5,3,Rural,1969,315607.02376495936
2275,5,2,Rural,1964,259473.27933704839
1791,5,3,Rural,2003,242865.26019000952
2880,5,2,Rural,1955,312245.8679787154
1391,5,1,Rural,1995,51154.13113008726
1098,5,2,Rural,2012,102580.49836622813
1392,5,2,Rural,2005,225281.32417764858
2194,5,2,Rural,1996,245433.69445927496
2529,5,3,Rural,1985,291195.67134809634
2282,5,1,Rural,1950,351438.5468115283
2382,5,2,Rural,2014,207718.7411877128
2715,5,1,Rural,1980,229019.4794959325
2830,5,3,Rural,1975,272012.265169515
2534,5,3,Rural,1984,348379.26646709716
2534,5,3,Rural,2017,233756.8863821809
1863,5,1,Rural,2013,331026.59636098804
2976,5,1,Rural,1954,265075.948204332
1623,5,2,Rural,1986,236531.66553606672
1880,5,1,Rural,1997,172765.2509259063
2183,5,1,Rural,2001,215636.3058238462
2445,5,2,Rural,2010,230463.81535562873
2919,5,2,Rural,1971,316117.1565885165
1562,5,1,Rural,2007,181237.83172594447
2306,5,3,Rural,2011,347942.00526169845
1225,5,3,Rural,2009,181103.2634891242
1157,5,3,Rural,2012,87137.890454451
2396,5,2,Rural,1952,304272.5427676434
2768,5,3,Rural,2009,333027.9076426232
1992,5,1,Rural,1973,240050.4959834057
2199,5,1,Rural,2007,300718.816645502
1653,5,2,Rural,2005,140382.87226040527
1313,5,2,Rural,2011,262434.5217293376
1443,5,2,Rural,1987,299103.33982685435
1822,5,1,Rural,1972,206442.25251652248
1093,5,3,Rural,1950,118967.69191518334
1473,5,3,Rural,1958,148489.51219153902
2277,5,3,Rural,1975,258865.26034286627
1335,5,3,Rural,2001,255989.5045800418
1690,5,3,Rural,1963,197888.10794813436
1284,5,2,Rural,2009,211770.31701769648
2021,5,2,Rural,1958,192499.13853638052
2926,5,1,Rural,1983,297645.4550119479
2524,5,2,Rural,2019,328545.8605296379
2399,5,2,Rural,2000,214095.0543062111
1866,5,2,Rural,2009,241160.6363713378
1395,5,2,Rural,1953,142709.2132430368
1075,5,2,Rural,1988,170587.70088704966
2507,5,1,Rural,1999,321563.40710783505
2238,5,2,Rural,1985,230947.2624105161
1169,5,2,Rural,1988,144823.8783201593
2671,5,3,Rural,2012,213976.85964899743
1444,5,3,Rural,1952,105488.09083210795
1875,5,2,Rural,1971,269844.16072456585
1038,5,3,Rural,2011,115580.61555255776
2149,5,2,Rural,2006,315570.854831943
1455,5,3,Rural,1970,141658.680700331
1894,5,3,Rural,1979,200989.2947203859
1386,5,3,Rural,1951,153895.937900664
1189,5,1,Rural,1956,194760.36058769596
2252,5,2,Rural,1998,316517.30020622705
2425,5,2,Rural,1989,269753.6360239221
2438,5,1,Rural,1979,270658.20070059143
2396,5,2,Rural,1991,333079.80905804696
2145,5,3,Rural,1961,260744.77494843025
1868,5,3,Rural,1978,271113.41788545327
1501,5,1,Rural,1995,198493.32156194845
1062,5,2,Rural,1963,94671.10673217147
1716,5,2,Rural,2015,251997.9172320539
1448,5,2,Rural,1952,232049.16350135388
2823,5,1,Rural,1979,400579.37221286324
2574,5,2,Rural,1966,296498.53895237553
1437,5,3,Rural,1991,152095.59082597902
1132,5,3,Rural,1975,134815.3595102052
1796,5,2,Rural,1950,151337.733270437
2424,5,1,Rural,2013,291911.78517840937
2353,5,1,Rural,1986,259199.89984603744
1110,5,1,Rural,2002,200784.71409593563
2206,5,3,Rural,1973,338611.35824966105
1533,5,3,Rural,1959,323573.64627204684
1837,5,1,Rural,1989,246895.8972611083
2409,5,1,Rural,1979,286223.4395788689
2531,5,1,Rural,2006,278897.66450319154
2038,5,3,Rural,1981,174033.06497018327
1027,5,2,Rural,1951,146631.55816664017
2392,5,2,Rural,1953,339929.76869929396
1691,5,1,Rural,2000,123146.72083859936
2975,5,2,Rural,1973,230128.1482991742
1623,5,3,Rural,1957,257388.34095138847
1898,5,3,Rural,1970,252217.31133150935
1880,5,3,Rural,2014,305647.9088776054
2629,5,3,Rural,1953,340724.39626619034
1503,5,1,Rural,1996,179352.70774634968
2049,5,1,Rural,1987,216764.62623127396
2141,5,2,Rural,2013,395177.0032875865
1112,5,1,Rural,1951,141798.62504769547
2828,5,1,Rural,1982,331264.24390558613
2342,5,3,Rural,2012,302265.54308772273
2943,5,3,Rural,1998,370903.69050211
1333,5,3,Rural,2009,79993.95024637695
2855,5,2,Rural,1966,336663.75521238404
1131,5,2,Rural,1950,131388.3617121804
2863,5,2,Rural,1953,277955.2828065936
1799,5,1,Rural,1961,192391.94607936597
2660,5,1,Rural,1965,283144.02356349287
1992,5,3,Rural,1963,178777.6758820918
1922,5,1,Rural,2000,156453.6391062442
2020,5,3,Rural,1996,295173.21466070786
1129,5,2,Rural,1979,177519.25133578255
1626,5,3,Rural,1978,91250.12291557406
2315,5,1,Rural,1993,338128.69760085235
1871,5,1,Rural,1978,263080.86585790035
1711,5,3,Rural,1950,230494.32406418404
1301,5,2,Rural,1999,102950.39897735702
1050,5,3,Rural,1957,135494.92418625805
2792,5,3,Rural,1971,293720.955192339
1982,5,2,Rural,1989,106851.63595179457
2934,5,2,Rural,1959,311568.12928775116
2160,5,1,Rural,2002,194130.1913802169
2205,5,2,Rural,1956,285549.6473824345
1661,5,3,Rural,2006,220192.38576835586
2072,5,3,Rural,1985,171757.73276953166
2724,5,3,Rural,1961,388614.8424148271
1193,5,1,Rural,1954,142812.7149895663
1760,5,2,Rural,2016,167602.83143943906
