model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Amarok,2015,18995.0,Manual,43935,Diesel,260,35.3,2.0
 Amarok,2017,24900.0,Automatic,30450,Diesel,260,36.2,3.0
 Amarok,2018,28900.0,Automatic,12231,Diesel,260,36.2,3.0
 Amarok,2018,27900.0,Automatic,13764,Diesel,260,36.2,3.0
 Amarok,2019,26999.0,Automatic,9500,Diesel,260,36.2,3.0
 Amarok,2019,36999.0,Automatic,1250,Diesel,260,33.6,3.0
 Amarok,2018,30999.0,Automatic,5940,Diesel,260,33.6,3.0
 Amarok,2017,20999.0,Automatic,69123,Diesel,260,36.2,3.0
 Amarok,2018,30999.0,Automatic,4980,Diesel,260,33.6,3.0
 Amarok,2017,25999.0,Automatic,30653,Diesel,260,36.2,3.0
 Amarok,2017,25999.0,Automatic,27540,Diesel,260,36.2,3.0
 Amarok,2015,15985.0,Manual,50114,Diesel,260,35.3,2.0
 Amarok,2019,32995.0,Automatic,12534,Diesel,260,33.6,3.0
 Amarok,2016,22794.0,Automatic,29500,Diesel,265,35.3,2.0
 Amarok,2014,13750.0,Manual,77282,Diesel,260,35.3,2.0
 Amarok,2018,24995.0,Automatic,38360,Diesel,260,36.2,3.0
 Amarok,2019,32895.0,Automatic,8906,Diesel,260,33.6,3.0
 Amarok,2019,34995.0,Automatic,3460,Diesel,260,33.6,3.0
 Amarok,2015,13998.0,Manual,49961,Diesel,265,36.2,2.0
 Amarok,2018,25498.0,Automatic,12447,Diesel,260,36.2,3.0
 Amarok,2019,27499.0,Automatic,12560,Diesel,260,28.3,3.0
 Amarok,2019,37999.0,Automatic,6542,Diesel,260,33.6,3.0
 Amarok,2020,39999.0,Automatic,2451,Diesel,260,33.6,3.0
 Amarok,2019,39999.0,Automatic,3412,Diesel,260,27.7,3.0
 Amarok,2019,30999.0,Automatic,9895,Diesel,260,36.2,3.0
 Amarok,2014,15497.0,Automatic,40330,Diesel,260,35.3,2.0
 Amarok,2018,25490.0,Automatic,45325,Diesel,260,36.2,3.0
 Amarok,2018,24995.0,Automatic,54000,Diesel,260,36.2,3.0
 Amarok,2019,31995.0,Automatic,6800,Diesel,260,36.2,3.0
 Amarok,2019,39995.0,Automatic,6500,Diesel,260,27.7,3.0
 Amarok,2015,16495.0,Manual,56371,Diesel,260,35.3,2.0
 Amarok,2019,35995.0,Automatic,3655,Diesel,260,33.6,3.0
 Amarok,2019,36995.0,Automatic,1956,Diesel,260,33.6,3.0
 Amarok,2015,17995.0,Automatic,38138,Diesel,260,35.3,2.0
 Amarok,2015,18595.0,Automatic,22743,Diesel,260,35.3,2.0
 Amarok,2018,23500.0,Automatic,35000,Diesel,260,36.2,3.0
 Amarok,2017,23900.0,Automatic,23800,Diesel,265,36.2,3.0
 Amarok,2015,16498.0,Automatic,49555,Diesel,260,35.3,2.0
 Amarok,2016,16998.0,Automatic,29218,Diesel,260,35.3,2.0
 Amarok,2018,22788.0,Manual,5655,Diesel,260,32.5,3.0
 Amarok,2016,15990.0,Manual,48638,Diesel,260,35.3,2.0
 Amarok,2019,33995.0,Automatic,3500,Diesel,260,28.3,3.0
 Amarok,2019,31495.0,Automatic,10000,Diesel,260,33.6,3.0
 Amarok,2015,17995.0,Automatic,32800,Diesel,260,35.3,2.0
 Amarok,2019,28995.0,Manual,800,Diesel,260,32.5,3.0
 Amarok,2013,14888.0,Manual,46725,Diesel,260,35.3,2.0
 Amarok,2019,32888.0,Automatic,12023,Diesel,260,28.3,3.0
 Amarok,2019,31995.0,Automatic,2569,Diesel,260,33.6,3.0
 Amarok,2015,15490.0,Manual,45325,Diesel,260,35.3,2.0
 Amarok,2017,23990.0,Automatic,51214,Diesel,260,36.2,3.0
 Amarok,2018,26990.0,Automatic,29771,Diesel,260,36.2,3.0
 Amarok,2019,34490.0,Automatic,8380,Diesel,260,33.6,3.0
 Amarok,2019,36990.0,Automatic,200,Diesel,260,28.3,3.0
 Amarok,2019,34490.0,Automatic,8500,Diesel,260,33.6,3.0
 Amarok,2019,27990.0,Automatic,16898,Diesel,260,33.6,3.0
 Amarok,2019,36990.0,Automatic,12500,Diesel,260,36.2,3.0
 Amarok,2017,23990.0,Automatic,28347,Diesel,260,36.2,3.0
 Amarok,2019,27990.0,Automatic,19841,Diesel,265,33.6,3.0
 Amarok,2019,32990.0,Automatic,6317,Diesel,260,33.6,3.0
 Amarok,2018,22990.0,Automatic,20811,Diesel,260,36.2,3.0
 Amarok,2018,22990.0,Automatic,18906,Diesel,265,36.2,3.0
 Amarok,2015,14995.0,Manual,73000,Diesel,260,35.3,2.0
 Amarok,2019,32290.0,Automatic,5000,Diesel,260,33.6,3.0
 Amarok,2019,38990.0,Automatic,8500,Diesel,260,27.7,3.0
 Amarok,2019,35990.0,Automatic,8000,Diesel,260,33.6,3.0
 Amarok,2018,26990.0,Automatic,24000,Diesel,260,36.2,3.0
 Amarok,2015,17990.0,Automatic,39267,Diesel,260,35.3,2.0
 Amarok,2019,36995.0,Automatic,6000,Diesel,260,28.3,3.0
 Amarok,2019,35995.0,Automatic,10000,Diesel,260,33.6,3.0
 Amarok,2019,43995.0,Automatic,9893,Diesel,260,27.7,3.0
 Amarok,2020,44980.0,Automatic,10000,Diesel,265,27.7,3.0
 Amarok,2018,27295.0,Automatic,6200,Diesel,260,36.2,3.0
 Amarok,2020,30995.0,Automatic,4500,Diesel,260,36.2,3.0
 Amarok,2020,33495.0,Automatic,3602,Diesel,260,33.6,3.0
 Amarok,2019,37495.0,Automatic,7500,Diesel,265,28.3,3.0
 Amarok,2019,32990.0,Automatic,12589,Diesel,260,33.6,3.0
 Amarok,2019,29990.0,Automatic,9222,Diesel,260,33.6,3.0
 Amarok,2019,39990.0,Automatic,5648,Diesel,260,33.6,3.0
 Amarok,2019,34900.0,Automatic,6898,Diesel,260,33.6,3.0
 Amarok,2019,36990.0,Automatic,1120,Diesel,260,33.6,3.0
 Amarok,2019,35995.0,Automatic,5466,Diesel,265,33.6,3.0
 Amarok,2017,25995.0,Automatic,25624,Diesel,260,36.2,3.0
 Amarok,2016,16995.0,Automatic,58349,Diesel,260,35.3,2.0
 Amarok,2020,34995.0,Automatic,5000,Diesel,265,33.6,3.0
 Amarok,2019,35000.0,Automatic,7504,Diesel,260,28.3,3.0
 Amarok,2017,22795.0,Automatic,39408,Diesel,260,36.2,3.0
 Amarok,2018,29994.0,Automatic,11625,Diesel,265,33.6,3.0
 Amarok,2018,30995.0,Automatic,23371,Diesel,265,36.2,3.0
 Amarok,2019,35899.0,Automatic,1854,Diesel,260,33.6,3.0
 Amarok,2014,14990.0,Manual,60000,Diesel,260,35.3,2.0
 Amarok,2019,30700.0,Automatic,6822,Diesel,260,33.6,3.0
 Amarok,2019,31350.0,Automatic,3997,Diesel,260,33.6,3.0
 Amarok,2016,18850.0,Automatic,32990,Diesel,260,35.3,2.0
 Amarok,2018,26880.0,Automatic,18397,Diesel,260,36.2,3.0
 Amarok,2020,37000.0,Automatic,10,Diesel,260,28.3,3.0
 Amarok,2018,32000.0,Automatic,5673,Diesel,260,33.6,3.0
 Amarok,2016,15991.0,Automatic,46000,Diesel,265,35.3,2.0
 Amarok,2019,28991.0,Automatic,18000,Diesel,265,28.3,3.0
 Amarok,2019,26991.0,Automatic,21746,Diesel,265,33.6,3.0
 Amarok,2019,27000.0,Automatic,25221,Diesel,260,33.6,3.0
 Amarok,2019,30000.0,Automatic,8500,Diesel,260,28.3,3.0
 Amarok,2017,26000.0,Automatic,22000,Diesel,260,36.2,3.0
 Amarok,2018,26000.0,Automatic,31000,Diesel,260,36.2,3.0
 Amarok,2019,30000.0,Automatic,6900,Diesel,260,33.6,3.0
 Amarok,2019,37995.0,Automatic,7583,Diesel,260,28.3,3.0
 Amarok,2019,28995.0,Automatic,10,Diesel,260,28.3,3.0
 Amarok,2017,23495.0,Automatic,37683,Diesel,260,36.2,3.0
 Amarok,2016,16500.0,Automatic,41978,Diesel,260,35.3,2.0
 Amarok,2015,12995.0,Automatic,97834,Diesel,260,35.3,2.0
 Amarok,2015,15995.0,Manual,38000,Diesel,260,35.3,2.0
 Amarok,2018,27895.0,Automatic,20000,Diesel,265,36.2,3.0
 Arteon,2019,29991.0,Automatic,11506,Diesel,145,50.4,2.0
 Arteon,2019,26491.0,Automatic,99,Diesel,145,52.3,2.0
 Arteon,2018,23498.0,Semi-Auto,5807,Petrol,145,40.4,1.5
 Arteon,2019,24995.0,Semi-Auto,4989,Diesel,145,50.4,2.0
 Arteon,2019,33995.0,Semi-Auto,10,Petrol,145,32.8,2.0
 Arteon,2018,24485.0,Semi-Auto,7829,Diesel,145,60.1,2.0
 Arteon,2018,22785.0,Semi-Auto,4350,Diesel,145,52.3,2.0
 Arteon,2018,24885.0,Semi-Auto,7800,Diesel,145,60.1,2.0
 Arteon,2018,22785.0,Semi-Auto,4350,Diesel,145,52.3,2.0
 Arteon,2019,31490.0,Semi-Auto,2500,Diesel,145,50.4,2.0
 Arteon,2019,24990.0,Semi-Auto,6882,Diesel,145,62.8,2.0
 Arteon,2019,27998.0,Manual,10,Diesel,150,52.3,2.0
 Arteon,2019,27550.0,Semi-Auto,3797,Diesel,145,44.1,2.0
 Arteon,2018,22995.0,Semi-Auto,21299,Petrol,145,47.1,2.0
 Arteon,2019,26995.0,Semi-Auto,4482,Diesel,145,44.1,2.0
 Arteon,2019,27550.0,Semi-Auto,3797,Diesel,145,44.1,2.0
 Arteon,2019,27498.0,Manual,10,Diesel,145,52.3,2.0
 Arteon,2018,22995.0,Semi-Auto,21299,Petrol,145,47.1,2.0
 Arteon,2019,27498.0,Manual,10,Diesel,145,52.3,2.0
 Arteon,2019,26995.0,Semi-Auto,4482,Diesel,145,44.1,2.0
 Arteon,2019,27498.0,Manual,40,Diesel,150,52.3,2.0
 Arteon,2019,26998.0,Semi-Auto,25,Diesel,145,50.4,2.0
 Arteon,2019,26798.0,Semi-Auto,15,Petrol,145,36.2,2.0
 Arteon,2018,21498.0,Semi-Auto,11555,Petrol,145,47.1,2.0
 Arteon,2019,29998.0,Semi-Auto,3000,Diesel,150,50.4,2.0
 Arteon,2019,27498.0,Manual,20,Diesel,145,52.3,2.0
 Arteon,2019,21998.0,Semi-Auto,16651,Diesel,145,50.4,2.0
 Arteon,2019,23798.0,Semi-Auto,7310,Diesel,145,50.4,2.0
 Arteon,2019,27798.0,Manual,10,Diesel,145,52.3,2.0
 Arteon,2019,23798.0,Semi-Auto,2313,Petrol,145,48.7,1.5
 Arteon,2019,31498.0,Semi-Auto,20,Diesel,145,50.4,2.0
 Arteon,2019,28950.0,Semi-Auto,5000,Diesel,145,50.4,2.0
 Arteon,2019,27989.0,Automatic,15,Diesel,145,50.4,2.0
 Arteon,2018,21998.0,Semi-Auto,5952,Petrol,145,48.7,1.5
